StoneflyID,Treatment,Mass,Proline,Inositol,Glycerol,Trehalose,Glucose
SF1,Field-collected,0.002337,3.181388781,23.90609899,10.21444622,0,8.173315503
SF2,Field-collected,0.00381,2.933951324,17.09126637,4.986744185,2.103198082,8.149528998
SF3,Field-collected,0.002496,2.562122856,23.80846434,4.684293724,0,6.624438806
SF4,Field-collected,0.002618,2.800198964,27.72658882,8.187673064,0.122978729,7.681736001
SF5,Field-collected,0.00099,0,34.33404578,14.27053522,0,11.13441028
SF6,Field-collected,0.000899,0.404834735,50.0762666,21.13403264,2.546697821,11.88707898
SF7,Field-collected,0.002717,1.435195438,19.90793762,6.992821253,0,6.844374336
SF8,Field-collected,0.002664,8.411674714,22.4405647,14.44675572,0.322280594,4.579993911
SF15,Field-collected,0.005036,8.920053132,9.998932519,11.51167973,0,4.695174279
SF16,Field-collected,0.002373,1.949986877,23.61838265,14.16539897,2.472311815,6.560019179
SF17,Field-collected,0.003507,2.060717478,14.81478252,19.30885374,0,4.918687305
SF18,Field-collected,0.004263,1.841624292,18.154038,7.885172827,0,7.599351202
SF19,Field-collected,0.003846,2.933525543,13.92518473,15.07353591,1.292893211,6.366706475
SF20,Field-collected,0.002069,5.101230732,20.21117805,17.42403311,0.069160263,6.141119884
SF21,Field-collected,0.003998,5.995115518,21.40385778,15.10971782,0.527917862,4.946023681
SF22,Field-collected,0.002055,2.099934199,19.05055822,24.65465738,1.375220696,5.773489833
LT1,Cold-shocked,0.001191,3.093145458,35.09712301,0,0,4.424638059
LT2,Cold-shocked,0.004341,1.883561717,31.08461089,0,0,8.538093902
LT3,Cold-shocked,0.00347,2.667079727,19.83288768,0,0,5.669657252
LT4,Cold-shocked,0.002115,2.039196674,35.24439029,0,0,6.644279185
LT5,Cold-shocked,0.002976,0.271730152,21.62965674,0,0,4.603942948
LT6,Cold-shocked,0.004071,1.721558356,23.77626985,0,0,6.040810202
LT7,Cold-shocked,0.004116,1.942866182,18.95979586,0,0,5.676028041
LT8,Cold-shocked,0.003109,1.965243819,24.79411136,0.716985654,0,7.288484687
