StoneflyID,Mass,SCP,Alive
S1,0.0046,-10.871,No
S2,0.0028,-12.68,No
S3,0.0043,-10.773,No
S4,0.0042,-12.16,No
S5,0.0046,-5.996,No
S6,0.003,-12.247,No
S7,0.0063,-8.033,No
S8,0.0036,-14.197,No
S9,0.0032,-14.987,No
S10,0.0121,-13.005,No
S11,0.0018,-13.579,No
S12,0.0063,-13.211,No
S13,0.0031,-8.704,No
S14,0.0023,-13.384,No
S15,0.0052,-13.146,No
S16,0.0046,-9.04,No
S17,0.0018,-13.61,No
S18,0.0035,-14.002,No
S19,0.0046,-12.864,No
S20,0.0044,NA,No
S21,0.0029,-10.254,No
S22,0.0021,-13.178,No
S23,0.0032,-13.644,No
S24,0.0042,-13.926,No
S25,0.0021,NA,Yes
S26,0.0036,-9.409,No
S27,0.0014,-13.07,No
S28,0.0017,-8.889,No
